TR,condindex,condname
0,6,5BPpicfive
11,7,6BOpicsix
22,8,7BPpicsev
31,5,4BPpicfour
42,26,25BPpINCfv
51,6,5BPpicfive
61,8,7BPpicsev
71,8,7BPpicsev
81,7,6BOpicsix
92,27,26BPpINCsix
103,7,6BOpicsix
114,6,5BPpicfive
123,8,7BPpicsev
133,6,5BPpicfive
142,8,7BPpicsev
152,8,7BPpicsev
162,8,7BPpicsev
172,6,5BPpicfive
181,8,7BPpicsev
190,8,7BPpicsev
209,16,15BPwfive
220,15,14BPwfr
231,15,14BPwfr
240,14,13BPwthr
250,36,35BPwINCfv
260,14,13BPwthr
271,16,15BPwfive
282,16,15BPwfive
291,16,15BPwfive
301,16,15BPwfive
310,16,15BPwfive
320,15,14BPwfr
330,16,15BPwfive
339,16,15BPwfive
348,15,14BPwfr
358,15,14BPwfr
367,14,13BPwthr
378,16,15BPwfive
387,16,15BPwfive
398,15,14BPwfr
418,15,14BPwfr
429,15,14BPwfr
440,15,14BPwfr
449,34,33BPwINCthr
459,17,16BPwsix
469,15,14BPwfr
478,16,15BPwfive
487,16,15BPwfive
497,15,14BPwfr
507,17,16BPwsix
517,17,16BPwsix
526,17,16BPwsix
536,16,15BPwfive
545,15,14BPwfr
554,17,16BPwsix
563,16,15BPwfive
574,16,15BPwfive
585,16,15BPwfive
595,14,13BPwthr
606,17,16BPwsix
627,15,14BPwfr
638,15,14BPwfr
647,14,13BPwthr
658,17,16BPwsix
667,17,16BPwsix
677,16,15BPwfive
686,17,16BPwsix
697,18,17BPwsev
706,17,16BPwsix
716,34,33BPwINCthr
726,16,15BPwfive
735,16,15BPwfive
746,17,16BPwsix
757,17,16BPwsix
768,16,15BPwfive
778,15,14BPwfr
787,15,14BPwfr
797,18,17BPwsev
806,35,34BPwINCfr
816,15,14BPwfr
836,4,3BPpicthr
846,7,6BOpicsix
857,7,6BOpicsix
867,4,3BPpicthr
877,6,5BPpicfive
887,6,5BPpicfive
896,5,4BPpicfour
907,6,5BPpicfive
918,6,5BPpicfive
928,5,4BPpicfour
937,8,7BPpicsev
948,8,7BPpicsev
959,6,5BPpicfive
968,6,5BPpicfive
978,6,5BPpicfive
989,7,6BOpicsix
999,7,6BOpicsix
1008,5,4BPpicfour
1017,8,7BPpicsev
1026,8,7BPpicsev
1045,4,3BPpicthr
1056,7,6BOpicsix
1066,5,4BPpicfour
1075,6,5BPpicfive
1085,7,6BOpicsix
1096,7,6BOpicsix
1105,5,4BPpicfour
1116,6,5BPpicfive
1126,7,6BOpicsix
1135,7,6BOpicsix
1146,8,7BPpicsev
1155,8,7BPpicsev
1165,4,3BPpicthr
1176,7,6BOpicsix
1186,7,6BOpicsix
1195,7,6BOpicsix
1206,5,4BPpicfour
1215,4,3BPpicthr
1224,3,2BPtwopic
1234,8,7BPpicsev
1254,7,6BOpicsix
1265,8,7BPpicsev
1275,6,5BPpicfive
1284,8,7BPpicsev
1295,8,7BPpicsev
1304,5,4BPpicfour
1314,5,4BPpicfour
1325,5,4BPpicfour
1336,8,7BPpicsev
1346,3,2BPtwopic
1357,6,5BPpicfive
1366,8,7BPpicsev
1375,6,5BPpicfive
1386,5,4BPpicfour
1397,8,7BPpicsev
1406,7,6BOpicsix
1416,7,6BOpicsix
1426,5,4BPpicfour
1435,26,25BPpINCfv
1444,8,7BPpicsev
1463,16,15BPwfive
1472,16,15BPwfive
1482,16,15BPwfive
1493,16,15BPwfive
1502,15,14BPwfr
1512,17,16BPwsix
1521,15,14BPwfr
1532,35,34BPwINCfr
1541,15,14BPwfr
1551,16,15BPwfive
1561,15,14BPwfr
1571,16,15BPwfive
1581,17,16BPwsix
1592,15,14BPwfr
1601,16,15BPwfive
1612,15,14BPwfr
1621,15,14BPwfr
1630,16,15BPwfive
1641,15,14BPwfr
1652,35,34BPwINCfr
1672,16,15BPwfive
1683,14,13BPwthr
1694,16,15BPwfive
1703,16,15BPwfive
1712,17,16BPwsix
1722,17,16BPwsix
1732,35,34BPwINCfr
1742,16,15BPwfive
1751,17,16BPwsix
1760,16,15BPwfive
1769,16,15BPwfive
1779,17,16BPwsix
1788,17,16BPwsix
1798,36,35BPwINCfv
1809,16,15BPwfive
1818,16,15BPwfive
1828,16,15BPwfive
1839,16,15BPwfive
1850,16,15BPwfive
1861,16,15BPwfive
1881,5,4BPpicfour
1892,6,5BPpicfive
1903,6,5BPpicfive
1912,7,6BOpicsix
1922,5,4BPpicfour
1932,8,7BPpicsev
1942,7,6BOpicsix
1951,5,4BPpicfour
1962,6,5BPpicfive
1971,8,7BPpicsev
1982,4,3BPpicthr
1992,8,7BPpicsev
2002,8,7BPpicsev
2011,7,6BOpicsix
2022,6,5BPpicfive
2031,27,26BPpINCsix
2042,7,6BOpicsix
2052,8,7BPpicsev
2061,6,5BPpicfive
2070,8,7BPpicsev
